,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3ClassifierModel,Exp3duration
/6_class_simple_MAR_0.01_1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_simple_MAR_0.1_1/,6,class_simple_,MAR_,0.1_,1/,0.09093095500888004,SimpleImputer,1.0,1.0,1.0,4.6502097587769344e-05,1.0,0.99934152292022,0.947,0.9466235348204312,0.17142645839700316,0.9470129016252645,0.9985786285125319,0.9255,0.9251924771371463,0.26167839307520047,0.9254130737456099,HistGradientBoostingClassifier,10431.23888707161,1.0,1.0,1.0,8.21742860280417e-06,1.0,0.9993853516330962,0.948,0.9476119148973036,0.18982843618481218,0.9479052496024883,0.9986729984619338,0.929,0.9285800881929672,0.2860181417736832,0.928877676940532,SimpleImputer,0.0826529178749547,HistGradientBoostingClassifier,8278.285996675491
/6_class_simple_MAR_0.3_1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_simple_MAR_0.5_1/,6,class_simple_,MAR_,0.5_,1/,0.09009885995692149,SimpleImputer,1.0,1.0,1.0,4.6987467544488445e-05,1.0,0.9987541680847107,0.937,0.9366400950875987,0.24477207850162835,0.9371125618253796,0.9793082088073367,0.726,0.7264344706524952,1.3207082974244282,0.7246052048442281,HistGradientBoostingClassifier,10106.235768795013,1.0,1.0,1.0,1.1635361101984255e-05,1.0,0.9986422027542734,0.936,0.9356520373030526,0.25849117522253307,0.9362345040074072,0.9775105258487251,0.7215,0.7222459713084537,1.404163708448596,0.7214035025886397,SimpleImputer,0.07995448155962433,HistGradientBoostingClassifier,11153.593878984451
/6_class_simple_MNAR_0.01_1/,6,class_simple_,MNAR_,0.01_,1/,0.08661157313976728,SimpleImputer,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9966111978513457,0.956,0.9556955238219871,0.31676136104425334,0.9558611739634463,0.9958153448852527,0.9545,0.9541568008497376,0.3729086506580651,0.9544189014644503,KNeighborsClassifier,11808.75856590271,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9966111978513457,0.956,0.9556955238219871,0.31676136104425334,0.9558611739634463,0.9958153448852527,0.9545,0.9541568008497376,0.3729086506580651,0.9544189014644503,SimpleImputer,0.08465991699478155,KNeighborsClassifier,8717.712193012238
/6_class_simple_MNAR_0.1_1/,6,class_simple_,MNAR_,0.1_,1/,0.07995595971893522,SimpleImputer,1.0,1.0,1.0,6.0850968615554994e-05,1.0,0.9993114114643079,0.946,0.9453749212822216,0.18126006229459485,0.9459360953834884,0.9977218722514613,0.9025,0.9020194842415953,0.32553575655441525,0.9026791932464658,HistGradientBoostingClassifier,8992.34904050827,1.0,1.0,1.0,5.093462265100677e-05,1.0,0.9992792535756144,0.9435,0.9429925009091618,0.18820454553329657,0.9435100872521297,0.997510598140697,0.896,0.8955700562753316,0.35903117599428025,0.8960239228118603,SimpleImputer,0.08086963717081566,HistGradientBoostingClassifier,11098.518860816956
/6_class_simple_MNAR_0.3_1/,6,class_simple_,MNAR_,0.3_,1/,0.08055759869717287,SimpleImputer,1.0,1.0,1.0,0.00019380847400822534,1.0,0.9979459481469236,0.9165,0.9160309128022723,0.31263632953489223,0.9168762084192494,0.9876393908215133,0.7755,0.7748720829692393,0.8534131304089972,0.7771092192049686,HistGradientBoostingClassifier,11911.570577144623,1.0,1.0,1.0,1.2301609864703348e-05,1.0,0.9980465569249056,0.9205,0.9199355549047183,0.349556867395562,0.9203745562272988,0.9873195572279394,0.7885,0.7879346724105889,0.9783636989689992,0.7887426080324325,SimpleImputer,0.08539370971023162,HistGradientBoostingClassifier,10135.323605775833
/6_class_simple_MNAR_0.5_1/,6,class_simple_,MNAR_,0.5_,1/,0.10122462496572437,SimpleImputer,0.9999999967385224,0.9999444444444444,0.999944177738082,0.0009871211774262645,0.9999444448937245,0.9948060026693006,0.8795,0.8787629878211006,0.4557365728559837,0.8798092793579606,0.9560854549312447,0.6135,0.6127758161011155,1.6107561851766008,0.615000053008367,HistGradientBoostingClassifier,10701.961883068085,0.9999768918902741,0.9961666666666666,0.9961584527625977,0.1390777858632511,0.9961740905307345,0.9945078999869202,0.859,0.8581436381776124,0.4623914477249193,0.8595574687912569,0.9514129797731946,0.5755,0.5745488252206343,1.4214224163758116,0.5781566196941897,SimpleImputer,0.08479674898330936,LGBMClassifier,9904.439614772797
/6_class_simple_MCAR_0.01_1/,6,class_simple_,MCAR_,0.01_,1/,0.08382241625713298,SimpleImputer,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9963554782663991,0.9575,0.9571253970360554,0.3320683501087247,0.9573821665708963,0.9950389689599504,0.9555,0.9550991683480123,0.42626733084863283,0.9553573702933896,KNeighborsClassifier,10088.639270544052,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9737429819785363,0.95,0.9494858076564772,1.8021826694558576,0.949850436737681,0.9721929050715554,0.947,0.9465058148342902,1.9103136296232093,0.9468673368824853,SimpleImputer,0.08853892891105357,KNeighborsClassifier,9123.31114935875
/6_class_simple_MCAR_0.1_1/,6,class_simple_,MCAR_,0.1_,1/,0.0802614211385216,SimpleImputer,1.0,1.0,1.0,2.111188984905126e-05,1.0,0.9993252514663937,0.944,0.9435643913140481,0.19827056308834273,0.943983423552375,0.9977954243502232,0.9135,0.912914650781465,0.34930597986318773,0.9138027636312195,HistGradientBoostingClassifier,12760.641453027725,1.0,1.0,1.0,0.03917105863579128,1.0,0.9978902742507176,0.9375,0.937071771172434,0.5647056153045087,0.9378527717292509,0.9953302223051749,0.914,0.9132795357562782,0.7250831941431611,0.9143731457686382,SimpleImputer,0.0823686800511023,BaggingClassifier,9654.160408258438
/6_class_simple_MCAR_0.3_1/,6,class_simple_,MCAR_,0.3_,1/,0.07951366100471627,SimpleImputer,1.0,1.0,1.0,0.0003914513151393318,1.0,0.9981085879492676,0.9115,0.9108755350261089,0.2851522119297862,0.9115685128797562,0.9894522307576055,0.805,0.8042449094791503,0.7028205322474012,0.8053265839855159,HistGradientBoostingClassifier,11014.842761516571,1.0,1.0,1.0,0.00010319167515863631,1.0,0.998432914135856,0.9225,0.9221003725551148,0.29145621132676025,0.9223778777724005,0.9895179622928298,0.801,0.8001584902956542,0.8319707891196356,0.801456509207988,SimpleImputer,0.08337101847292042,HistGradientBoostingClassifier,11427.231105089188
/6_class_simple_MCAR_0.5_1/,6,class_simple_,MCAR_,0.5_,1/,0.1025621844306686,SimpleImputer,0.9999954902131396,0.9991666666666666,0.9991872809650424,0.10482771325509141,0.9991667593755225,0.9957744167968946,0.8685,0.8678900323647838,0.41478189980433694,0.8686425942652617,0.9609225958423788,0.6065,0.6056556607560034,1.2787026055295776,0.6099408488477287,LGBMClassifier,7301.575204849243,0.9999937703158926,0.9990555555555556,0.9990713107059559,0.1113083546567415,0.9990559160354248,0.9955583116964798,0.865,0.8644305080378202,0.42969260929078135,0.86555624828695,0.9607280421320532,0.612,0.6110072477971591,1.2775564046060157,0.6153534070681966,SimpleImputer,0.0836132048879523,LGBMClassifier,9814.778468847275
/6_class_full_MAR_0.01_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MAR_0.1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MAR_0.3_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MAR_0.5_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MNAR_0.01_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MNAR_0.1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MNAR_0.3_1/,6,class_full_,MNAR_,0.3_,1/,0.07869802822034198,IterativeImputer,1.0,1.0,1.0,2.4082633651563136e-05,1.0,0.9990029461239675,0.937,0.9364332144195019,0.21790861997044267,0.9367511735245264,0.988535151019061,0.8195,0.818886676097745,0.8711302758238672,0.820786606495824,HistGradientBoostingClassifier,11970.39897942543,0.9998483892459993,0.9731666666666666,0.9731126325615442,0.16212320875155942,0.9732060931857428,0.9985609228777886,0.9235,0.9229731835752387,0.31561662258028844,0.9233931683578456,0.9851301237846412,0.8345,0.8339955934194949,0.6634341575633957,0.83581778622381,IterativeImputer,0.04048067055561066,XGBClassifier,14964.998846054077
/6_class_full_MNAR_0.5_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MCAR_0.01_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MCAR_0.1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MCAR_0.3_1/,6,class_full_,MCAR_,0.3_,1/,0.0812128616709854,IterativeImputer,0.9930224811333594,0.8469444444444445,0.8466352402711517,0.538181539195871,0.8482642387351722,0.9987447495907312,0.9175,0.9168851411892452,0.28296413572324347,0.917442715158234,0.989086330929468,0.818,0.8177814286827476,0.6487501281663467,0.8196339202892756,MLPClassifier,9138.459599494934,1.0,1.0,1.0,0.06805478140137555,1.0,0.9985566333785127,0.938,0.9374255403806997,0.4434273466466295,0.9376522363269542,0.9860117121177736,0.8385,0.8377706473203376,0.8113070023194839,0.8398772727354112,IterativeImputer,0.04129207475160592,RandomForestClassifier,14932.30962228775
/6_class_full_MCAR_0.5_1/,6,class_full_,MCAR_,0.5_,1/,0.09746969475474673,IterativeImputer,1.0,1.0,1.0,0.0013486240979126282,1.0,0.9969850899176989,0.891,0.8903124778859755,0.34012491070559836,0.8906824188858095,0.9483975154228509,0.6305,0.6296832883416082,1.6777505430612774,0.6331829531318661,HistGradientBoostingClassifier,11964.5621509552,1.0,1.0,1.0,6.375808891690114e-05,1.0,0.9959025367095842,0.8755,0.8748176905708471,0.4647251490594897,0.8750055083208493,0.9596808591773959,0.6175,0.6167063040066274,1.6999394109257062,0.6169388162461905,SimpleImputer,0.08422646008222044,HistGradientBoostingClassifier,14897.759659290314
/6_class_simple_MAR_0.01_2/,6,class_simple_,MAR_,0.01_,2/,0.09022154739009379,SimpleImputer,1.0,1.0,1.0,1.1644864644347872e-08,1.0,0.9964026237300584,0.9545,0.9540437453350596,0.32998878614068783,0.9544138471720022,0.9945679726374053,0.95,0.9495898012618019,0.45793781107582365,0.9499568790596242,KNeighborsClassifier,11366.118575334549,1.0,1.0,1.0,1.1533223373249971e-08,1.0,0.9964039461423903,0.9555,0.9550629963543107,0.32992810590746513,0.9554480047746058,0.9945616027624558,0.95,0.9496226968643178,0.45888628196127607,0.9500022208884207,SimpleImputer,0.09616216678750918,KNeighborsClassifier,9032.466685533524
/6_class_simple_MAR_0.1_2/,6,class_simple_,MAR_,0.1_,2/,0.08652467054206531,SimpleImputer,1.0,1.0,1.0,0.0327345238873874,1.0,0.9994631425144065,0.96,0.9596843075980822,0.33558906814755707,0.960019581470822,0.9985008444976037,0.9335,0.9332726477839194,0.4654190451243065,0.9338217642971697,ExtraTreesClassifier,9961.364040136337,1.0,1.0,1.0,9.033983163831197e-05,1.0,0.9993830567392519,0.954,0.9536525410189932,0.16209264861251896,0.9539037306766619,0.9982314736658361,0.919,0.9186254344882181,0.29400031617302824,0.9188728150723376,SimpleImputer,0.07376458817308112,HistGradientBoostingClassifier,12674.752627849579
/6_class_simple_MAR_0.3_1_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_simple_MAR_0.5_2/,6,class_simple_,MAR_,0.5_,2/,0.09696580345171472,SimpleImputer,1.0,1.0,1.0,6.889043182731455e-05,1.0,0.9986301239610722,0.923,0.9223991155262692,0.25479742741977085,0.9231410420046907,0.9745931026158655,0.7055,0.7053774884686045,1.3667280704666274,0.704514941367827,HistGradientBoostingClassifier,13144.868532419205,1.0,1.0,1.0,7.866546459077428e-05,1.0,0.9988675707504535,0.9265,0.9259774611913711,0.24520452003976892,0.9264249537852282,0.9776584162862171,0.709,0.7087102349530746,1.4413705465984872,0.7089257057785195,SimpleImputer,0.0800968936656395,HistGradientBoostingClassifier,10847.937870979309
/6_class_simple_MNAR_0.01_2/,6,class_simple_,MNAR_,0.01_,2/,0.08461350195548724,SimpleImputer,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9963104924422448,0.954,0.9536586857662557,0.35806225380973533,0.9540128194997625,0.9962663852444383,0.95,0.9495927331135161,0.3663490319116529,0.9499599558369458,KNeighborsClassifier,9613.766674041748,1.0,1.0,1.0,2.804975622084398e-05,1.0,0.9995501607280046,0.961,0.9605977042735236,0.14184941109350563,0.9608807605921335,0.9993447504232935,0.9545,0.9540000238787478,0.17609674697056996,0.9543920304994021,SimpleImputer,0.08711058806321674,HistGradientBoostingClassifier,8690.130937337875
/6_class_simple_MNAR_0.1_2/,6,class_simple_,MNAR_,0.1_,2/,0.07873229150495009,SimpleImputer,1.0,1.0,1.0,1.224643423449372e-05,1.0,0.9993701778266165,0.953,0.9525440892122562,0.17046786982282666,0.9529753523526378,0.9980550673312367,0.9085,0.9080392005316278,0.3392892483900506,0.9086669156470988,HistGradientBoostingClassifier,10405.621872663498,1.0,1.0,1.0,0.01240962100618003,1.0,0.998093321339022,0.945,0.9446368959950824,0.5247216939823489,0.9451064287303025,0.9960221081080604,0.9065,0.9061109421507807,0.6903007991137772,0.9069585020861491,SimpleImputer,0.0861211534088372,BaggingClassifier,9235.357588529587
/6_class_simple_MNAR_0.3_2/,6,class_simple_,MNAR_,0.3_,2/,0.07923014434850298,SimpleImputer,1.0,1.0,1.0,6.662564959617678e-05,1.0,0.9982974435911062,0.927,0.9267310248450968,0.2811904063244242,0.9271428760445325,0.9865573739173986,0.778,0.7771110217127817,0.925349525506659,0.7794806297980174,HistGradientBoostingClassifier,11859.620342731476,1.0,1.0,1.0,0.01149089530382167,1.0,0.9946754328778064,0.899,0.8984143941971328,0.7760734126951304,0.8991683236023041,0.9734883193315155,0.7695,0.7687770389287808,1.3207756710477299,0.7704418854182713,SimpleImputer,0.08397815851073642,BaggingClassifier,9152.580999612808
/6_class_simple_MNAR_0.5_2/,6,class_simple_,MNAR_,0.5_,2/,0.10162784100108387,SimpleImputer,1.0,1.0,1.0,9.326781180284555e-05,1.0,0.9964269083087497,0.8855,0.8850642487262631,0.43647766963073414,0.8851016103611944,0.9578276819379015,0.6045,0.6043387650796977,1.7774898595529554,0.6048998588697821,HistGradientBoostingClassifier,12633.080651760101,1.0,1.0,1.0,6.754706913484385e-05,1.0,0.995939311550567,0.8805,0.8798756577908556,0.45923559135359854,0.8797674337936031,0.9565251673781929,0.6205,0.6200468136362896,1.83571108325286,0.6214446121174164,SimpleImputer,0.08444047667033473,HistGradientBoostingClassifier,11284.34630036354
/6_class_simple_MCAR_0.01_2/,6,class_simple_,MCAR_,0.01_,2/,0.0830597209941047,SimpleImputer,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9968173934814076,0.9565,0.9560368481250769,0.3242126920166129,0.9563739607752373,0.9964964732376568,0.9535,0.952956688794062,0.3490576685065391,0.9534360463249434,KNeighborsClassifier,11340.906476259232,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9943241335858877,0.95,0.9494978663126284,0.4602031241115087,0.949803228636174,0.9930057783638795,0.9485,0.9479705906289457,0.5512783134935874,0.9484256915205701,SimpleImputer,0.08428567847567202,KNeighborsClassifier,8995.887543916702
